dataset,accession
GlobalA,EPI_ISL_452320
GlobalA,EPI_ISL_452108
GlobalA,EPI_ISL_437360
GlobalA,EPI_ISL_450768
GlobalA,EPI_ISL_450771
GlobalA,EPI_ISL_450773
GlobalA,EPI_ISL_450774
GlobalA,EPI_ISL_426427
GlobalA,EPI_ISL_424870
GlobalA,EPI_ISL_452126
GlobalA,EPI_ISL_452124
GlobalA,EPI_ISL_424872
GlobalA,EPI_ISL_426428
GlobalA,EPI_ISL_424873
GlobalA,EPI_ISL_424871
GlobalA,EPI_ISL_428202
GlobalA,EPI_ISL_428203
GlobalA,EPI_ISL_428204
GlobalA,EPI_ISL_428205
GlobalA,EPI_ISL_428206
GlobalA,EPI_ISL_424874
GlobalA,EPI_ISL_424875
GlobalA,EPI_ISL_420791
GlobalA,EPI_ISL_420792
GlobalA,EPI_ISL_424876
GlobalA,EPI_ISL_424877
GlobalA,EPI_ISL_452117
GlobalA,EPI_ISL_421718
GlobalA,EPI_ISL_435483
GlobalA,EPI_ISL_444655
GlobalA,EPI_ISL_444780
GlobalA,EPI_ISL_421584
GlobalA,EPI_ISL_424878
GlobalA,EPI_ISL_452109
GlobalA,EPI_ISL_426429
GlobalA,EPI_ISL_424879
GlobalA,EPI_ISL_450584
GlobalA,EPI_ISL_427288
GlobalA,EPI_ISL_427290
GlobalA,EPI_ISL_426430
GlobalA,EPI_ISL_426431
GlobalA,EPI_ISL_424286
GlobalA,EPI_ISL_424285
GlobalA,EPI_ISL_424303
GlobalA,EPI_ISL_443185
GlobalA,EPI_ISL_430950
GlobalA,EPI_ISL_416673
GlobalA,EPI_ISL_419558
GlobalA,EPI_ISL_420794
GlobalA,EPI_ISL_447844
GlobalA,EPI_ISL_436467
GlobalA,EPI_ISL_436472
GlobalA,EPI_ISL_436473
